,username,retweets,likes,text,hashtags,time
20,GobiernoMX,148,415,"La @SEDENAmx reafirma su compromiso de concluir el #AIFA en tiempo y forma con el presupuesto asignado de 74 mil 535 millones de pesos, aun cuando en los dos años de la obra ha tenido que afrontar múltiples incrementos en los costos de materiales de construcción como el acero.",['AIFA'],2021-09-13 23:31:41
21,GobiernoMX,71,189,"Durante los trabajos de construcción del #AIFA, se han recibido 246 visitas de diversos actores de la aviación civil, asociaciones del sector turístico y medios.

Destaca el reconocimiento de la @ACI_LAC, que califica la obra de rápida, eficiente y con alta calidad.",['AIFA'],2021-09-13 22:40:29
22,GobiernoMX,131,326,"Sin trabas burocráticas se facilitará el voto de mexicanos en el extranjero. El asunto será tratado incluso antes de que se envíe al Congreso la iniciativa de #ReformaElectoral.

Se calcula que en EEUU hay alrededor de 12 millones de personas con derecho a votar en nuestro país. https://t.co/w2fMC9NRZj",['ReformaElectoral'],2021-09-13 22:00:01
23,GobiernoMX,135,398,"El presidente @lopezobrador_ informó la agenda de gobierno de la semana en que celebramos el 211 aniversario del inicio del movimiento de Independencia.

Se incluye la VI Cumbre de la #CELAC, con la presencia de 17 presidentes y primeros ministros de América Latina y el Caribe. https://t.co/XPKwLFwT0f",['CELAC'],2021-09-13 19:30:28
24,GobiernoMX,567,1567,174 Aniversario de la Gesta Heroica de los Niños Héroes de Chapultepec. https://t.co/t9RuO2Dban,[],2021-09-13 14:20:20
25,GobiernoMX,267,585,#ConferenciaPresidente | Lunes 13 de septiembre de 2021 https://t.co/9A8IwoPt4J,['ConferenciaPresidente'],2021-09-13 11:46:34
26,GobiernoMX,168,467,Resumen de las conferencias matutinas del 6 al 10 de septiembre de 2021. https://t.co/6pR2e0pZh4,[],2021-09-13 00:23:28
27,GobiernoMX,44,0,"RT @conagua_mx: Transmisión #EnVivo - #Videocoferencia de prensa para informar sobre la #TormentaTropical #Nicholas en el #GolfoDeMéxico, p…","['EnVivo', 'Videocoferencia', 'TormentaTropical', 'Nicholas', 'GolfoDeMéxico']",2021-09-12 17:37:00
28,GobiernoMX,250,787,Inauguración del Centro de Rehabilitación y Educación Especial https://t.co/N8sI79rwA7,[],2021-09-12 16:09:07
29,GobiernoMX,382,1021,"La obra del Aeropuerto Internacional ‘General Felipe Ángeles’ se caracteriza por la generación de 116 mil empleos directos, sin retención de dinero a trabajadores, y la garantía de conectividad y movilidad eficientes y seguras.

Sin corrupción, ahorraremos 125 mil mdp. https://t.co/iBUhWlpeGa",[],2021-09-11 04:30:00
30,GobiernoMX,354,816,"La @SEDENAmx desmiente categóricamente que trabajadores empleados en la obra del #AIFA deban dar “moches” o reciban menos paga de lo acordado, como se mencionó en algunos medios.

El salario de cada trabajador se integra mediante un contrato individual, como marca la ley.",['AIFA'],2021-09-11 04:00:01
31,GobiernoMX,125,341,"Con el #MuseoDelMamut, donde se expondrán 40 mil piezas paleontológicas rescatadas en la obra, además de recintos dedicados a la aviación y el ferrocarril y zonas de recreación, el #AIFA se convertirá en un importante polo de conectividad, cultura y desarrollo de México.","['MuseoDelMamut', 'AIFA']",2021-09-11 03:30:00
32,GobiernoMX,211,550,"Ubicado en Zumpango, Estado de México, el #AeropuertoFelipeÁngeles producirá el 35% de energías limpias, por el empleo de tecnologías y materiales verdes.

Cumple con un alta sostenibilidad y resiliencia por su naturaleza de infraestructura creada como obra militar.",['AeropuertoFelipeÁngeles'],2021-09-11 03:00:01
33,GobiernoMX,132,321,"El presidente @lopezobrador_ invita a la magna exposición #LaGrandezaDeMéxico, que se inaugura el 27 de septiembre en el Museo de Antropología @mna_inah y el edificio de @SEP_mx, para mostrar la importancia de las grandes civilizaciones que florecieron en el México prehispánico. https://t.co/5wPvUmnqA7",['LaGrandezaDeMéxico'],2021-09-11 02:00:01
34,GobiernoMX,227,606,"Como obra enmarcada en la nueva etapa de la vida pública de México, el #AIFA cumple con ser un aeropuerto funcional y austero, pero no en su equipamiento; vistoso y construido en el menor tiempo posible, pero alejado de actos de corrupción y sin dispendio de recursos públicos.",['AIFA'],2021-09-11 01:30:00
35,GobiernoMX,92,232,"México agradece la disposición del gobierno de EEUU, tras el Diálogo Económico de Alto Nivel #DEAN, para invertir en el desarrollo de los países de Centroamérica.

La mejor manera de enfrentar el #FenómenoMigratorio es atendiendo las causas que lo originan. https://t.co/WydISwkO2p","['DEAN', 'FenómenoMigratorio']",2021-09-11 01:00:01
36,GobiernoMX,182,521,Supervisión de obra. Hospital Pediátrico de Sinaloa “Dr. Rigoberto Aguilar Pico”. https://t.co/SPf58I2U77,[],2021-09-11 00:03:28
37,GobiernoMX,84,207,"La recién abierta #CuartaSección del Bosque de Chapultepec es una importante reserva biocultural y pulmón de la #CDMX.

Con las tres secciones previas, el proyecto en su conjunto consta de 800 hectáreas, un gran espacio de recreación ecológica y cultural para México y el mundo. https://t.co/oSDC1Jk4XK","['CuartaSección', 'CDMX']",2021-09-10 23:15:00
38,GobiernoMX,482,1501,"El presidente @lopezobrador_ afirmó que no desea que en el futuro las obras públicas lleven su nombre, porque ya no es tiempo de rendir culto a las personalidades.

El mejor homenaje para un dirigente es seguir su ejemplo, no convertirlo en piedra. https://t.co/txqthHZFf7",[],2021-09-10 22:45:00
39,GobiernoMX,277,621,"Para evitar en un futuro la privatización de los bienes de la nación, @SEDENAmx tendrá bajo su custodia la empresa AIFA S.A. de C.V., que además de dirigir el Aeropuerto Felipe Ángeles, operará el @TrenMayaMX, los aeropuertos de Palenque, Chetumal y el nuevo aeropuerto de Tulum. https://t.co/Mch7B7nXzJ",[],2021-09-10 22:00:01
40,GobiernoMX,71,206,"Tras el Diálogo Económico de Alto Nivel #DEAN, entre México y EEUU, se anuncia la creación de acuerdos para fortalecer la cooperación económica y comercial entre ambos países, así como las inversiones en Centroamérica y el sur de nuestro país para ordenar el flujo migratorio.",['DEAN'],2021-09-10 21:00:01
41,GobiernoMX,147,416,Supervisión de obra. Hospital General del Estado de Sonora. https://t.co/OitXeFFmtV,[],2021-09-10 20:31:47
42,GobiernoMX,329,761,"El Aeropuerto Internacional Felipe Ángeles #AIFA, que entrará en operación el 21 de marzo de 2022, posee tres elementos que lo distinguen: rapidez, eficiencia y alta calidad de la obra.

El ahorro en su construcción permitirá financiar casi en su totalidad el @TrenMayaMX. https://t.co/Q7yqnP96B4",['AIFA'],2021-09-10 19:00:34
43,GobiernoMX,108,229,"Derrumbes sobre carreteras y caminos, afectaciones de puentes, baches y desprendimiento de carpeta asfáltica, la @SCT_mx informa que el presupuesto total para atender los daños ocasionados por el paso del #HuracánGrace, en Veracruz, Puebla e Hidalgo, asciende a 2 mil 169 mdp.",['HuracánGrace'],2021-09-10 17:49:52
44,GobiernoMX,95,261,"Desde el primer momento en que ocurre un fenómeno natural, instancias como @SEDENAmx y @conagua_mx acuden en auxilio de la población.  

Es el caso de Tula, donde los afectados por lluvias e inundaciones han sido provistos de víveres, kit de aseo personal y refugios temporales.",[],2021-09-10 16:38:47
45,GobiernoMX,326,758,#ConferenciaPresidente | Viernes 10 de septiembre de 2021 https://t.co/Bf6HKYK2GU,['ConferenciaPresidente'],2021-09-10 11:56:15
46,GobiernoMX,91,225,"En resumen, con una inversión federal de 2 mil 472 millones de pesos, para las personas damnificadas por el #HuracánGrace en Veracruz, Puebla e Hidalgo se entregarán un total de 11 mil 997 apoyos:

– 64 mil 513 en viviendas
– 47 mil 484 en el campo",['HuracánGrace'],2021-09-10 03:30:22
47,GobiernoMX,177,468,"Para la recuperación de cosechas y animales se entregarán 47 mil 484 apoyos agropecuarios, cada uno de 4 mil 500 pesos en efectivo:

– 24 mil 137 en Veracruz
– 16 mil 649 en Puebla 
– 6 mil 698 en Hidalgo",[],2021-09-10 03:30:07
48,GobiernoMX,168,409,"Entre el 14 y 21 de septiembre, cada familia afectada por el #HuracánGrace recibirá un apoyo de 35 mil pesos en efectivo:

– En 45 mil 318 viviendas de Veracruz
– En 17 mil 916 viviendas de Puebla
– En mil 279 viviendas de Hidalgo https://t.co/yLHxSRR3P0",['HuracánGrace'],2021-09-10 03:30:00
