,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,linda_mintun,"Spokane, WA",2637,2095,83971,20,"#Biden showed a list of #GOPSeditiousTraitors who tried to take credit for #coronavirus #stimulus they didn't vote for

A strange scene - didn't do him any favor 

What was #JoeBiden thinking when he announced unity?

#NoJusticeNoPeace #Trump #racism #Truth #abortionrights #BLM https://t.co/FxaC4anUxs","['Biden', 'GOPSeditiousTraitors', 'coronavirus', 'stimulus']",2021-07-06 07:44:03
1,kk131066,"Kuala Lumpur, Malaysia",30748,31948,90708,20,"#Biden showed a list of #GOPSeditiousTraitors who tried to take credit for #coronavirus #stimulus they didn't vote for

A strange scene - didn't do him any favor 

What was #JoeBiden thinking when he announced unity?

#NoJusticeNoPeace #Trump #racism #Truth #abortionrights #BLM https://t.co/FxaC4anUxs","['Biden', 'GOPSeditiousTraitors', 'coronavirus', 'stimulus']",2021-07-06 07:42:31
2,MiEpochTimes,"Detroit, Michigan",62,971,28878,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 19:07:55
3,crissha2016,🗺,211,233,73970,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 19:06:43
4,etaxamerica,United States,391,27,936,0,"Stimulus Check Update: Where Does The Fourth Stimulus Check Stand?

https://t.co/eYl04eETtV
.
.
.
.
.
#stimulus #stimuluscheck #fourthstimulsround #FOURTHSTIMULUS #coronavirus #stimuluspackage #pandemic #stimuluschecks #usa #america #President #joebiden #AmericanRescuePlan https://t.co/otMcoZgPtb","['stimulus', 'stimuluscheck', 'fourthstimulsround', 'FOURTHSTIMULUS', 'coronavirus', 'stimuluspackage', 'pandemic', 'stimuluschecks', 'usa', 'america', 'President', 'joebiden', 'AmericanRescuePlan']",2021-07-05 18:08:37
5,virgpitt,Yachats Oregon,2082,918,38247,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 17:44:23
6,Vlog_Do_Rui,"Bombarral, Portugal",1055,1250,22878,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 17:44:19
7,Mar974988,Moving again.,1771,579,104644,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 17:41:22
8,ailermaria,Miami,611,4691,15411,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 17:41:11
9,jhpadillaleal,Mexico,1605,957,121087,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 17:41:09
10,TruthIndigo,"Miami, Fl",645,156,17245,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 17:40:20
11,EpochTimes,"New York, USA",79,416127,197581,13,"For scammers, 2020 was an unforgettable year.

The distribution of #Stimulus checks gave fraudsters plenty of opportunities to carry out scams. https://t.co/MJOt9xvuYA",['Stimulus'],2021-07-05 17:40:08
12,CushnerCapital,"Fallbrook, CA",822,295,4876,2,"Americans who qualify to start receiving ""family stimulus checks"" can now easily enroll for — or opt out of — the payments. ✅ #stimulus  #covid19 https://t.co/yaHeAtrK0c",[],2021-07-02 20:23:30
13,ChaseBoye1,Where The World Gets Wider✈️,3339,6958,19843,32,"🌐TTMWW🌐™▫#JoeBiden unveils  1.9 trillion dollar #stimulus plan. W/ the  democrats in control &amp; #MitchMcConnell on board; things areas looking up. However, Americans are not counted out as of yet. Who wants that $2k #stimulus check... recurring? Lmk
CB https://t.co/r3W18L6ORy","['JoeBiden', 'stimulus', 'MitchMcConnell']",2021-07-01 06:26:53
14,KPMueller,New Jersey,1175,2186,4863,0,"Child tax credit update: You can now change your direct deposit information, IRS says #ChildTaxCredit #Stimulus 
https://t.co/RZBGtAsCBu","['ChildTaxCredit', 'Stimulus']",2021-06-30 20:24:16
15,RealPhatsBlog,North America,987,6706,86016,0,"Supreme Court leaves CDC eviction moratorium in place
#Congress 
#Senate
#Stimulus
#StimulusChecks
#NancyPelosi
#ChuckSchumer 
#JoeBiden
#COVID19
#TreasuryDept
#Economy
#Pandemic
#SmallBusiness 
#PPP
#UnemploymentBenefits 
#StateAid
https://t.co/K7xKlLeqPj","['Congress', 'Senate', 'Stimulus', 'StimulusChecks', 'NancyPelosi', 'ChuckSchumer', 'JoeBiden', 'COVID19', 'TreasuryDept', 'Economy', 'Pandemic', 'SmallBusiness', 'PPP', 'UnemploymentBenefits', 'StateAid']",2021-06-30 11:56:10
16,FreeTaxPrepLA,"Los Angeles, CA",277,334,4036,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,['IRS'],2021-06-29 21:25:21
17,LizbethFriedman,Musicking Explorer,1532,472,13557,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,['IRS'],2021-06-29 19:06:43
18,YourVoiceAtIRS,United States,306,35619,11348,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,"['IRS', 'stimulus']",2021-06-29 19:01:39
19,rennymc33,"Boston, MA",922,73,2180,0,"@MayorKimJaney Please help #Covid #LongHaulers with #Stimulus money. I live in #Dorchester, but have millions of friends around the country who are debilitated, can’t work and are the forgotten ones. We desperately need financial assistance and feel hopeless. Please help. Thank you.","['Covid', 'LongHaulers', 'Stimulus', 'Dorchester']",2021-07-06 23:33:56
20,TheSunUS,United States,1334,5627,46353,0,#BREAKING: Fourth #stimulus check likely as huge numbers of Americans remain unemployed https://t.co/mK3scXlTf2 https://t.co/OQGhTF4vzm,"['BREAKING', 'stimulus']",2021-07-06 14:33:55
21,AJWillisJR,Earth,6522,12566,140,0,Hey if he wanted the numbers past 70% he should’ve put out a fourth stimulus check. duh!! #Covid #Stimuluscheck #Stimulus,"['Covid', 'Stimuluscheck', 'Stimulus']",2021-07-05 21:57:36
22,zackafriedman,"New York, NY",993,5017,3186,0,"Why Biden has focused on this student loan cancellation 

https://t.co/lHBAevI2ty

#biden #studentloans #college #debt #stimulus #Covid #covid19 #congress #money @yesmakelemonade @Forbes","['biden', 'studentloans', 'college', 'debt', 'stimulus', 'Covid', 'covid19', 'congress', 'money']",2021-07-05 19:20:53
23,mishaklaw,"North Ridgeville, OH",119,64,11662,0,Covid Relief Stimulus: Where’s My Payment? https://t.co/0UsVXLrThq #covidrelief #currentevents #getmypayment #stimulus,"['covidrelief', 'currentevents', 'getmypayment', 'stimulus']",2021-07-05 18:39:23
24,TreasuryCurve,"Silicon Valley, CA",971,941,10827,0,Treasury Curve will provide free technology to ensure public sector entities have the tools to prudently &amp; efficiently manage #COVID-19 #stimulus cash. Join the conversation here. https://t.co/HQ8NJjV6gI #publicsector #stimuluspackage  #AmericanRescuePlanActof2021 https://t.co/IAsPBpcZGc,"['COVID', 'stimulus', 'publicsector', 'stimuluspackage', 'AmericanRescuePlanActof2021']",2021-07-02 15:00:05
25,AnyPollApp,United States,738,172,24993,0,Here's how Stamford's using millions of dollars in federal COVID-19 stimulus money... https://t.co/c31y2kSG7D #here #how #stamford #using #millions #of #dollars #in #federal #covid- #stimulus #money,"['here', 'how', 'stamford', 'using', 'millions', 'of', 'dollars', 'in', 'federal', 'covid', 'stimulus', 'money']",2021-07-02 11:19:17
27,Olgold96,Illinois,3799,3288,56209,7,"It took $138 billion in federal #COVID relief and stimulus for #Illinois to get the first upgrade to its credit rating in 20 years. Now it's rated two notches above junk. 

https://t.co/jAwkFoQmmf #twill #muniland #Covid_19 #Covid19 @GovPritzker @MoodysInvSvc #stimulus","['COVID', 'Illinois']",2021-07-02 04:53:26
28,mishaklaw,"North Ridgeville, OH",119,64,11662,0,Covid Relief Stimulus: Where’s My Payment? https://t.co/0UsVXLJu8Y #covidrelief #currentevents #getmypayment #stimulus,"['covidrelief', 'currentevents', 'getmypayment', 'stimulus']",2021-07-01 22:38:17
29,JessicahExhibit,Ohio,102,24,1853,0,"@KamalaHarris I've  contacted the IRS, The White House, @JoeBiden and no reply. I'm someone who was directly impacted by Covid yet I didn't receive the 3rd stimulus. It seems I'm always getting screwed over financially. #racistchildsupportsystem #Stimulus #suffering","['racistchildsupportsystem', 'Stimulus', 'suffering']",2021-07-01 21:42:12
31,rennymc33,"Boston, MA",922,73,2180,0,"@Combat__COVID @US_FDA Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:18:44
32,rennymc33,"Boston, MA",922,73,2180,0,"@Combat__COVID @CDCgov Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:18:35
33,rennymc33,"Boston, MA",922,73,2180,0,"@Combat__COVID @califf001 Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:18:12
34,rennymc33,"Boston, MA",922,73,2180,0,"@Combat__COVID @RMKGandhi @harvardmed @NIH Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:17:52
35,rennymc33,"Boston, MA",922,73,2180,0,"@Combat__COVID @NMQF Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:17:43
36,rennymc33,"Boston, MA",922,73,2180,0,"@Combat__COVID @Reuters Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:17:31
38,rennymc33,"Boston, MA",922,73,2180,0,"@Combat__COVID @DrKhaldun @HHS_ASPR Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:17:05
39,rennymc33,"Boston, MA",922,73,2180,0,"@HHSGov @Combat__COVID @SecBecerra @BrooksLaSureCMS Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:16:55
40,rennymc33,"Boston, MA",922,73,2180,0,"@HHSGov @Combat__COVID @BrooksLaSureCMS Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:16:44
