,username,location,following,followers,totaltweets,retweets,text,hashtags,time
21,CreechJeff,  USA,6100,6482,120897,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:46
22,DafyddU,"Calgary,Alberta,Canada",2719,844,4349,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:45
23,ryangvcci,he/him,143,78,11561,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:45
24,brish_ti,"Victoria, British Columbia",609,3119,7920,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:42
25,Caroleina2,Kaurna Land. ❤💛🖤,3794,2696,41550,2,Prime Minister Scott Morrison finally admits Australia will eventually have to learn to live with Covid  as his government continues to bungle it's vaccine rollout program https://t.co/8HV3D9I6mt https://t.co/0Pl5BElkfa,[],2021-07-08 23:58:37
26,JoseDanielBelt1,Bogotá,381,34,1872,1242,"BREAKING: Pfizer Inc. plans to request U.S. emergency authorization in August for a third booster dose of its Covid-19 vaccine, based on early data showing that it can sharply increase immune protection against the coronavirus https://t.co/36ayV2UrJF https://t.co/oWpOeYc1Vd",[],2021-07-08 23:58:36
27,reid_henry,"Kelowna BC/St Albert AB, Cda",1893,1942,35995,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:20
28,Noralih,"Calgary, Canada",4816,2665,131134,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:08
29,behnamrahdari,"Pittsburgh, PA",213,2434,6974,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:07
30,Nenieskato,Catalunya.,1280,216,26935,41,Pfizer will be seeking authorization for a third dose of its COVID-19 vaccine. The company says that a third shot within 12 months can dramatically boost immunity and perhaps protect against variants of the coronavirus. #covidvaccine #pfizer #thirddose #3rddose #CGTNAmerica https://t.co/jsEsMhafD2,[],2021-07-08 23:58:02
31,StableGeniusNo1,No Country will take me ,542,134,3445,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:00
32,yarn22,Australia,5001,1264,34506,263,"Reported yesterday: 0 new local cases and 1 new case acquired overseas (currently in HQ). 
- 15,665 vaccine doses were administered 
- 25,590 test results were received.    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/vZx18Daz78",[],2021-07-08 23:57:59
33,barbicanval,manchester england,2291,428,6521,255,"This is deeply irresponsible strategy by the govt. As highlighted by Directors of Public Health, People's Inquiry, WHO and &gt;120 scientists in today's Lancet Letter.

ES article
https://t.co/iyzg2Y0tqU

Guardian Article
https://t.co/ChfdAGEqbm",[],2021-07-08 23:57:59
34,shelbzbeaulieu,"Detroit, MI",191,333,21427,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:55
35,vsnt8,¡Puerto Rico Presente!📍,880,1507,103654,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:45
36,editor13x,"Miami, Florida",2137,18866,46674,0,"Top story: Pfizer to ask US to authorize third Covid vaccine shot as booster | Coronavirus | The Guardian https://t.co/E2xNJW1Vjp, see more https://t.co/gBCg2FypGt",[],2021-07-08 23:57:41
37,BestKnowledge,Upstate New York,452,418,44512,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:41
38,GerryTimbers,"St. Catharines, Ontario",413,86,3107,24,Pfizer to ask FDA to authorize booster dose of COVID-19 vaccine https://t.co/OmYVSUmYEm https://t.co/WBQfb899Qt,[],2021-07-08 23:57:38
39,marcody8,"Nova Scotia, Canada",5192,4805,171445,14,"A mom is urging people to be vigilant about COVID-19 after she caught the virus months after being vaccinated, also passing it to her 6-year-old daughter who isn't yet eligible for the vaccine.
@BryantOnTV reports &gt;&gt; https://t.co/xw7zgPObXN",[],2021-07-08 23:57:29
40,thewineconsul,"Toronto, Ontario",2829,627,3277,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:20
41,JeanniePatch,"Marblehead, MA",2013,323,6233,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:19
42,ComicCavePDX,"Kenton, Portland",848,531,23495,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:17
43,BhaveshChauhan,Disturbing YVR,2653,1615,107295,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:17
44,PaulSweeneyYYZ,"Toronto, Ontario, Canada",926,1198,155172,24,Pfizer to ask FDA to authorize booster dose of COVID-19 vaccine https://t.co/OmYVSUmYEm https://t.co/WBQfb899Qt,[],2021-07-08 23:57:17
45,SuzanneinLGB,So Cal,11275,10251,457563,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:17
46,blakebenson42,Valparaiso University,1279,504,37015,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:16
47,sevenbowie,NoneOfYourDamnBusiness,11607,12092,460918,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:15
48,AeEscobaralma,🇸🇻,220,221,5814,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:12
49,Simply_Rain_S,"Greenwood, IN",214,867,111419,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:09
50,davidLearoyd,"Toronto, Ontario",533,571,25495,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:57:08
51,HanCardiomd,USA,962,5459,7851,2,"Pfizer is about to seek U.S. authorization for a third dose of its COVID-19 vaccine

Another shot within 12 months could dramatically boost immunity and maybe help ward off the latest worrisome coronavirus mutant ⁦⁩ ⁦⁦⁦@DrJennHaythe⁩ ⁦ https://t.co/o5qpXNVqv6",[],2021-07-08 23:57:01
52,saturnssoulless,TX,27,37,294,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:58
53,bsmarlon,Behind you,941,733,87161,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:58
54,BreakenridgeYEG,Edmonton,6763,12802,79047,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:55
55,CMesaRx,"Tucson, AZ",240,64,65,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:54
56,fvehafric,"Portland, OR",2156,2477,99648,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:53
57,RyanGibbs89,Aquidneck Island,947,434,17855,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:51
