,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,arian_alb,"Melbourne, Victoria",1885,707,15165,0,"The SMH reports today that senior NSW ministers are now considering whether the state has to abandon its “zero Covid” goal and accept that the Delta strain will circulate in the community.

Live Breaking News: Covid-19 updates https://t.co/CZwKK25FLB",[],2021-07-08 23:57:00
1,HiPeoplebiz,Italia,4282,1197,833311,1,#coronavirus #covid19 #covid #vaccines #lockdown Coronavirus vaccine rollout is in General JJ Frewen's hands — but Scott Morrison needs to find more doses - ABC News https://t.co/NaYLct5am4,"['coronavirus', 'covid19', 'covid', 'vaccines', 'lockdown']",2021-07-08 23:52:12
2,polobah,"Lephalale, South Africa",565,119,2468,0,"Why do we have curfew, does it prevents the spread of virus?  Except for lockdown &amp; vaccine what conclusive measures have been implemented to fight covid19? Why there are no certificates for all infections? What happened to human rights? #CR17 #coronavirus","['CR17', 'coronavirus']",2021-07-08 23:43:30
3,9NewsGoldCoast,"Surfers Paradise, Gold Coast",486,40319,155867,2,"#ALERT: Queensland authorities will provide a #coronavirus update at 10.00am.

Watch it LIVE here: https://t.co/QDHmPutsrf

#COVID19 #9News https://t.co/LtHABHznFS","['ALERT', 'coronavirus']",2021-07-08 23:38:24
4,9NewsAUS,Australia,234,643773,318646,2,"#ALERT: Queensland authorities will provide a #coronavirus update at 10.00am.

Watch it LIVE here: https://t.co/QDHmPutsrf

#COVID19 #9News https://t.co/LtHABHznFS","['ALERT', 'coronavirus']",2021-07-08 23:38:20
5,9NewsQueensland,"Brisbane, Australia",7340,141552,286068,2,"#ALERT: Queensland authorities will provide a #coronavirus update at 10.00am.

Watch it LIVE here: https://t.co/QDHmPutsrf

#COVID19 #9News https://t.co/LtHABHznFS","['ALERT', 'coronavirus', 'COVID19', '9News']",2021-07-08 23:36:59
6,s4061555,Kobe-shi Hyougo,811,921,38785,5,Sydney Covid lockdown restrictions: latest NSW coronavirus rules explained https://t.co/rENjgzeRHu,[],2021-07-08 23:36:16
7,Scott1984FP,"Bedford, Bedfordshire, Uk,",4999,2857,830161,5,Sydney Covid lockdown restrictions: latest NSW coronavirus rules explained https://t.co/rENjgzeRHu,[],2021-07-08 23:32:38
8,RamirezJnr,From where the sun rises,555,752,82364,11,"Fairfield Mayor Frank Carbone, whose government area is one of those being targeted by police, says targeting one area of Sydney instead of the whole city sends the wrong message.

#COVID19 #9News
https://t.co/KfTnvjzJk8",[],2021-07-08 23:30:09
9,pepeMcGee, Australia ,3016,3053,102928,20,The NSW government is reportedly considering whether it has to abandon its “zero COVID-19” goal and accept that the Delta strain will circulate in the community. Latest coverage: https://t.co/93495vkLvV https://t.co/nAn025e0tx,[],2021-07-08 23:29:32
10,RichForrest2,Mornington Peninsula Melbourne,1013,3568,288060,20,The NSW government is reportedly considering whether it has to abandon its “zero COVID-19” goal and accept that the Delta strain will circulate in the community. Latest coverage: https://t.co/93495vkLvV https://t.co/nAn025e0tx,[],2021-07-08 23:28:54
11,NJDaviesBlog,"Yorta Yorta lands, Victoria.",2661,1629,16370,20,The NSW government is reportedly considering whether it has to abandon its “zero COVID-19” goal and accept that the Delta strain will circulate in the community. Latest coverage: https://t.co/93495vkLvV https://t.co/nAn025e0tx,[],2021-07-08 23:27:13
12,ColettaFrank,Sydney NSW Australia,517,607,10108,11,"Fairfield Mayor Frank Carbone, whose government area is one of those being targeted by police, says targeting one area of Sydney instead of the whole city sends the wrong message.

#COVID19 #9News
https://t.co/KfTnvjzJk8",[],2021-07-08 23:26:53
13,rolandoleturia,Viognier y Suavignon Blanc,2771,2058,49888,5,Sydney Covid lockdown restrictions: latest NSW coronavirus rules explained https://t.co/rENjgzeRHu,[],2021-07-08 23:21:35
14,7NewsSydney,Sydney,175,347303,265429,0,There are calls for NSW to introduce tougher restrictions and extend Sydney’s lockdown to stamp out the city’s worsening coronavirus outbreak. The state recorded 38 new locally acquired COVID-19 cases on Thursday. #COVID #7NEWS https://t.co/jDoIcfux1y,"['COVID', '7NEWS']",2021-07-08 23:21:29
15,JakeMcCallum_,Sydney,1358,780,3620,0,"POOR FORM: Office staff at a Sydney council fear they must choose between their jobs or obeying health orders after being told to return to work mid-lockdown, despite the ongoing risk of Covid-19.
https://t.co/vtwitmIv43 via @dailytelegraph",[],2021-07-08 23:20:52
16,BillieO2,New York,4998,3949,653396,5,Sydney Covid lockdown restrictions: latest NSW coronavirus rules explained https://t.co/rENjgzeRHu,[],2021-07-08 23:19:33
17,BronnyLane,Melbourne,3582,2571,6036,0,"Hey Sydney, welcome to Melbourne lockdown life 2020. Who's got the gold standard now? Nobody. Because there is no gold standard other than stay the f at home if you want out. Turns out the only sure thing is this virus #sydneylockdown #melbournelockdown #covid #coronavirus","['sydneylockdown', 'melbournelockdown', 'covid', 'coronavirus']",2021-07-08 23:17:00
18,GuardianAus,Australia,164,297787,262880,0,Sydney Covid lockdown restrictions: latest NSW coronavirus rules explained https://t.co/KtL1dwBPNq,[],2021-07-08 23:14:24
