,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,TakeBackKansas,"Kansas, USA",518,968,12639,5,"The Delta variant is spreading rapidly in neighboring states and Kansas border counties. Help us slow the spread and protect our communities by:
✅ Getting tested at https://t.co/UTvm2eMMH2
✅ Getting vaccinated ⬇️
https://t.co/WC1KSCX5f5",[],2021-07-14 23:51:34
1,POFerriesFR8,"Dover, UK.",19,6349,251394,0,"Please use the link below to check you have all of the paperwork you need to cross the border between Great Britain and the EU in HGVs, and details on how to access COVID testing facilities;. https://t.co/iFxIaIMR6u",[],2021-07-14 23:50:01
2,FordCarole,U K,3000,1720,138905,274,"Mild COVID-19 symptoms for you could make others seriously ill.

Don’t be the one to pass it on. Get a test:

🌐 Visit https://t.co/QLFJij5HiC

📱 Use the NHS COVID-19 app

📞 Call 119",[],2021-07-14 23:42:54
3,IPCHealth_au,"106 Station Road, Deer Park",84,117,772,0,"5/ And check the wait times of testing sites before heading out | https://t.co/IZtEFFQZAE

#IPCHealth #wecareformelbourneswest #EveryTestHelps #covid19testing #COVID19VIC @NWMelbPHN @VicGovDH","['IPCHealth', 'wecareformelbourneswest', 'EveryTestHelps', 'covid19testing', 'COVID19VIC']",2021-07-14 23:37:22
4,dimityclancey,Sydney,951,4935,2333,3,"A worker at Westmead Hospital has tested positive to #COVID19. #9News
https://t.co/2KnOrsZP6c","['COVID19', '9News']",2021-07-14 23:34:59
5,POferriesupdate,Dover,50,34211,244771,0,"Important: Since 04:00 on 15/01/21, it has been mandatory for all passengers travelling into the UK to have a pre-travel Covid-19 test., More info: https://t.co/d47yAbIV2I",[],2021-07-14 23:30:02
6,Go4gold100,"West Midlands, United Kingdom",5442,5668,104808,2416,"Mild COVID-19 symptoms for you could make others seriously ill.

Don’t be the one to pass it on. Book a test:

🌐 Visit https://t.co/QLFJiiO5U2

📱 Use the NHS COVID-19 app

📞 Call 119",[],2021-07-14 23:19:00
7,Vote4Progress,Georgia,5065,4629,33677,16,"The $740B defense authorization act passed by HOUSE DEMOCRATS led by Nancy Pelosi is a f*ck u to all Americans vulnerable to #coronavirus b/c of lack of adequate PPE, testing, facilities, beds, etc. The money shd have been used to fight the war at home against the virus.",[],2021-07-14 23:14:23
8,wadakashiho,JAPAN,5119,5881,722112,15,"Regular, rapid #COVID19 testing is key to helping us get back to a more normal way of life. 
 
Free tests are available for all adults with no symptoms in England.
 
Visit ➡️ https://t.co/X94hm6RKl7 
 
Swipe right to learn more 👉",['COVID19'],2021-07-14 23:10:56
9,TimRichardsonMP,"Melbourne, Victoria",807,1257,1511,3,"TESTING 🦠 🔬 👨‍⚕️ 
It is important that if you have any symptoms, even mild symptoms, please come forward to get tested. Here are the testing locations:
https://t.co/IBmsn6Disp",[],2021-07-14 23:06:12
10,FincaRosaBlanca,"Heredia, Costa Rica",2416,1460,1657,0,"Costa Rica Coronavirus Travel: Hotels with Onsite COVID Testing, Travel Requirements, Vaccine Passports &amp; Other Coronavirus Travel FAQs https://t.co/A3YpPupKle
#CostaRica #Travel #COVID19 #hotels","['CostaRica', 'Travel', 'COVID19', 'hotels']",2021-07-14 23:04:27
