,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,muddyinpb,San Diego,1969,1864,223249,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:59:55
1,lucky_number9_,"Bay Ridge, Anarchy",2735,1649,63289,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:59:50
2,PrinceInfidel,North of Gotham,186,43,26638,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:59:43
3,cookingtheresa,"Near Seattle, WA",559,416,116099,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:59:29
4,gemztone,"Los Angeles, CA",495,69,2028,129,"#COVID19 vaccines are safe and effective. Millions of people in the United States have received COVID-19 vaccines, and these vaccines have undergone the most intensive safety monitoring in U.S. history. More on COVID-19 vaccine safety: https://t.co/dtZHgQYUgN. https://t.co/TMZa658nzr",['COVID19'],2021-07-10 23:59:03
5,OppenheimerFoto,New York,2938,1178,68573,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:58:43
6,Eristae,Earth,344,339,29928,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:58:24
7,Cullenshorses,"Maribyrnong, Victoria",100,470,14704,305,"Yesterday there were no new cases reported.
- 12,978 vaccine doses were administered
- 23,302 test results were received
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/J4rYpsq3P3",[],2021-07-10 23:57:04
8,_Griot_,In my beautiful brown skin! ,1174,1560,601447,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:57:04
9,mianeono,"Austin, Texas, USA",1479,839,37201,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:56:53
10,lunaronya,wap (war and peace),719,260,23406,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:56:30
11,elsbet,Mudville,1588,2086,243170,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:56:29
12,sveldte,He/They,252,208,122817,305,"Yesterday there were no new cases reported.
- 12,978 vaccine doses were administered
- 23,302 test results were received
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/J4rYpsq3P3",[],2021-07-10 23:55:17
13,216doe,Mentally 216 actually 214,265,797,46767,1290,"Covid-19 cases are rising at ""a pace that is almost unbelievable,"" with over 90% of ICU patients on ventilators, according to Erik Frederick, chief administrative officer at Mercy Hospital in Springfield, Missouri. https://t.co/9pIDP7UjlE https://t.co/gbkps3YVL5",[],2021-07-10 23:55:17
