,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,pattymalone2000,"Melbourne, Victoria",1621,371,55547,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 23:55:16
1,annjsmall,Europe,966,390,23179,48,"Wait? What? So Oxford has rate of 598/100k &amp; people ""advised not to leave Oxford as it becomes Covid hotspot"" yet Sunderland &amp; STyneside have rates of up to 1000/100k &amp; not a peep!! Nothing on local @BBCLN news??No govt communication?What's going on?
https://t.co/kxfy7D74S4",[],2021-07-10 23:46:20
2,fitzfun2011,"London, England",4994,2185,50675,48,"Wait? What? So Oxford has rate of 598/100k &amp; people ""advised not to leave Oxford as it becomes Covid hotspot"" yet Sunderland &amp; STyneside have rates of up to 1000/100k &amp; not a peep!! Nothing on local @BBCLN news??No govt communication?What's going on?
https://t.co/kxfy7D74S4",[],2021-07-10 23:36:19
3,johnbolton5,Australia,65,358,23218,0,https://t.co/Obu6Ac4xvR: Sydney woman arrested and charged after fleeing lockdown https://t.co/jlT26JFkm9 via @skynews,[],2021-07-10 23:28:26
4,sunsprite33,In the Middle of Tennessee,1273,1611,50886,7,"#BREAKING: Lockdown restrictions for Greater Sydney have been tightened after NSW recorded 44 new #COVID19 cases. #9Today

READ MORE: https://t.co/5jNJciFBsW https://t.co/CczJLD89Mp","['BREAKING', 'COVID19', '9Today']",2021-07-10 23:27:05
5,hippychicky55,"Melbourne, Australia",158,196,17901,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 23:18:25
6,nzherald,New Zealand,2855,324867,155642,1,A new graph has shown the severity of Sydney's current Covid outbreak in comparison to the Victorian outbreak that led to a 112-day lockdown. https://t.co/MrwwR9vH8i https://t.co/V58PqJ02J7,[],2021-07-10 23:13:36
7,alexeidrummond,"Auckland, New Zealand",1998,4444,3108,0,Sydney is on the verge of a winter epidemic of the delta strain of SARS-CoV2. A hard enforced lockdown is their best chance to head it off and give them the time they need to get to safe vaccination levels. https://t.co/ptPa1Lb92O,[],2021-07-10 23:10:41
8,ExogenesisHH,"Stroud, Gloucestershire ",552,9524,25223,92,"Just in case there is anyone still in doubt, here is an overview of the reasons why we should never lockdown again #coronavirus #COVID19 #NoLockdown https://t.co/IcmEm8MraY",[],2021-07-10 23:04:17
9,iamjohnm,"New South Wales, Australia",1571,145,5696,0,"@SkyNewsAust @Dom_Perrottet Welcomed news to read, and let’s fast track it for those who need this support! There isn’t time to waste. This #lockdown has many families and businesses at their limits, we need to help them, and help them now! #coronavirus #COVID19nsw","['lockdown', 'coronavirus', 'COVID19nsw']",2021-07-10 23:00:46
10,tasdionisakos,Melbourne,342,64,33857,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 23:00:37
11,moirafindlay,Australia,231,222,5555,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 22:52:41
12,theage,"Melbourne, Australia",1217,901972,129155,1,"#Victoria has recorded no new #cases of #coronavirus, as #holidaymakers are urged to return home from #NSW immediately, with a hard #border likely to be established. Follow our rolling coverage https://t.co/8OSCVcCEqw","['Victoria', 'cases', 'coronavirus', 'holidaymakers', 'NSW', 'border']",2021-07-10 22:52:09
13,piyratana,"Sydney, New South Wales",378,155,4034,0,Greater Sydney bracing for yet another COVID-19 surge as third week of lockdown begins https://t.co/S0XrdFEHcp,[],2021-07-10 22:51:55
14,Prabhu_DS,"Narasinghpur, Odisha, India",159,624,180715,0,"Things not to do during #Coronavirus #Lockdown 
Coronavirus is going crazy in the world as we all know. During this pandemic, I am going to list down a few things. #prabhuwrites #prabhu #hymprudious https://t.co/5sDkPRUSxw #prabhudattasahoo","['Coronavirus', 'Lockdown', 'prabhuwrites', 'prabhu', 'hymprudious', 'prabhudattasahoo']",2021-07-10 22:48:59
15,lanneha,"Melbourne, Victoria",82,72,709,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 22:48:44
16,NugentTafari,"El Paso, TX",3752,4820,20368,6,"""Epidemics, Seen and Unseen,"" a 4-haiku sequence https://t.co/h3bvmackR2

I

seagulls squabble
in the food court parking lot
second lockdown

https://t.co/ZgUIGZUeHU #haiku #poetry #micropoetry #poem #Coronavirus #Covid19 #Pandemic #PandemicLife #PandemicPoem #Lockdown",[],2021-07-10 22:42:29
17,Ninecomau,Australia,396,14533,118653,0,"New South Wales is bracing for yet another record-setting daily COVID-19 figure today as Greater Sydney wakes to its third week of COVID-19 
 lockdown.https://t.co/TKwiuUzbIk",[],2021-07-10 22:42:12
18,MarcellaBrasset,Narm,1243,3239,28916,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 22:41:57
19,KFMVIEWS, New South Wales,2309,998,44799,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 22:41:54
20,viralvideovlogs,കേരളം,4569,7058,803680,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 22:39:55
21,samemniktom,"Camperdown, Victoria",2317,1165,15068,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 22:39:54
22,sbooth29,"Melbourne, Victoria",672,617,18326,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I",['Victoria'],2021-07-10 22:39:35
23,SkinnyKath,Australia,850,243,11291,27,"NSW should go into Vic Stage4 lockdown to get the #COVID number down - latest advice from the Burnet Institute.

NSW restrictions will not lead to a 'significant dip' in case numbers https://t.co/LxqfleTrT2",['COVID'],2021-07-10 22:39:09
24,theage,"Melbourne, Australia",1217,901972,129155,30,"Listen, #Victoria . . . We’re sorry, ok? Look at us. We stuffed it up by not doing what you told us to do: go early, go hard, writes Peter FitzSimons | OPINION #sydneylockdown #lockdown2021 #coronavirus #COVID19 https://t.co/qY0YysB62I","['Victoria', 'sydneylockdown', 'lockdown2021', 'coronavirus', 'COVID19']",2021-07-10 22:38:10
