,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,PICSSociety,Surrey,790,811,3300,2,"Watch our Vietnamese-language COVID-19 vaccine information video HERE: https://t.co/sElaSQV8Zx  

#BCimmUNITY 

@OptionsBC @SUCCESSCanada @SUCCESSBCSIS @MOSAICBC @PICSSociety @DIVERSEcityBC @UWLM @Archwayca @MissionMCSS https://t.co/BC661grQ8t",['BCimmUNITY'],2021-07-09 23:59:32
1,rodell19,"Columbia, SC",1339,1280,12759,0,White House calling out critics of door-to-door vaccine push - More than two-thirds of adult Americans have received at least the first dose of a COVID-19 vaccine. https://t.co/HqPFfFV5Eh via @wltx,[],2021-07-09 23:59:18
2,Mikey_Hugg,"Australia, Victoria, Melbourne",133,48,5940,284,"Reported yesterday: 0 new local cases and 3 new cases acquired overseas (currently in HQ). 
- 16,092 vaccine doses were administered 
- 23,265 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/MHImxgcwmc",[],2021-07-09 23:59:00
3,wbir,"Knoxville, TN",947,180179,214035,2,"Yes, the COVID-19 vaccine can lead to a false-positive mammogram https://t.co/1P4wT6IY26",[],2021-07-09 23:58:24
4,Sharron28865362,Australia,104,191,41296,284,"Reported yesterday: 0 new local cases and 3 new cases acquired overseas (currently in HQ). 
- 16,092 vaccine doses were administered 
- 23,265 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/MHImxgcwmc",[],2021-07-09 23:58:18
5,FrancesMcIntos1,UK,893,747,18544,438,"The chances of children dying from coronavirus are so low that the vaccine would need to be proven to be ""very low risk"" before they were given the jab, according to child health experts https://t.co/nci6HaNPGQ",[],2021-07-09 23:58:17
6,mojos55,Lancashire,28158,28718,686438,4,"OMG !!!!   
Listen very carefully !!!
If you're double dosed with your #vaccine, you're more likely to get or give #coronavirus -  
Source: Grant Shapps on BBC Breakfast today! https://t.co/nuAOq2DoJI","['vaccine', 'coronavirus']",2021-07-09 23:58:07
7,aj_mirabelle,"Colorado, USA",3391,4937,137374,21,"We don’t have to be like Israel or even Missouri. There is still a chance to slow the spread. 

#GetVaccinated 
#WearAMask 

https://t.co/khMBbXCgJq",['GetVaccinated'],2021-07-09 23:57:43
8,Wyatt_harden,"San Antonio, TX",834,1526,51611,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-09 23:57:35
9,SongPopSam96,"37.8136 S, 144.9631 E",1300,1055,89146,284,"Reported yesterday: 0 new local cases and 3 new cases acquired overseas (currently in HQ). 
- 16,092 vaccine doses were administered 
- 23,265 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/MHImxgcwmc",[],2021-07-09 23:57:11
