,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,on_verbs,"Seattle, WA/Highton View Ter",563,710,50445,3240,"Tennessee just fired its top vaccine official. On the way out, she dropped a 1200+ word statement torching government leaders and lawmakers for politicizing the coronavirus vaccine. You can read the whole thing here. https://t.co/1lW0DhS3Ev",[],2021-07-13 23:59:30
1,HarmonyUsInc,"Tampa, FL",2434,43138,26071,4,"Immunity takes time, but not too much time! You’re considered fully vaccinated 2 weeks after getting your final dose of a COVID-19 vaccine. Learn more at https://t.co/FQPpdNKE0C and learn how you can get #VaccineReady. #WeCanDoThis https://t.co/OpxXz4jbmX",[],2021-07-13 23:59:19
2,Talion__B,"Greensboro, NC USA",165,26,4030,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:59:18
3,sable227,SW Washington State,5001,2461,45286,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:59:09
4,blackasf11,I hear the drums.,691,267,5133,1,"Although he was banned from Instagram for promoting COVID-19 misinformation in February, Kennedy’s views have gained a larger audience on Fox as the network has become increasingly blatant about pushing anti-vax misinformation. https://t.co/hZV54BCp2T",[],2021-07-13 23:59:02
5,DETVic,"Victoria, Australia",523,14467,9942,273,"Reported yesterday: 1 new local case and 1 new case acquired overseas (currently in HQ). 
- 14,989 vaccine doses were administered 
- 33,037 test results were received    
More later: https://t.co/lIUrl1hf3W

#COVID19Vic #COVID19VicData [1/2] https://t.co/YISnlwvdvG",[],2021-07-13 23:58:46
6,FliiestBiddy,Where the money resides,152,316,45974,3240,"Tennessee just fired its top vaccine official. On the way out, she dropped a 1200+ word statement torching government leaders and lawmakers for politicizing the coronavirus vaccine. You can read the whole thing here. https://t.co/1lW0DhS3Ev",[],2021-07-13 23:58:26
7,Goblincow,"Loughborough, England",626,199,14097,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:58:24
8,K4C,"Ontario, Canada",3521,3604,66171,27,"""If you received a Pfizer-BioNTech or Moderna COVID-19 vaccine, you should get the same product for your second shot.""
https://t.co/c26XWXhYW0",[],2021-07-13 23:58:21
9,WarmNest1,Anti-theist,856,79,6175,10,It's not just about you. Experts say getting a Covid-19 vaccine protects everyone around you || Via CNN https://t.co/yx0BTq3I6G,[],2021-07-13 23:57:12
10,LoveE_H_8_9,#Thailand I'm #Thai E.L.F !,392,155,202304,273,"Reported yesterday: 1 new local case and 1 new case acquired overseas (currently in HQ). 
- 14,989 vaccine doses were administered 
- 33,037 test results were received    
More later: https://t.co/lIUrl1hf3W

#COVID19Vic #COVID19VicData [1/2] https://t.co/YISnlwvdvG",[],2021-07-13 23:56:33
11,MarkAClarkson,4 miles past Bête noire,653,403,47912,0,"https://t.co/59vduCRm9m

LOL. @jacindaardern had better speak to Pfizer boss Dr Albert Bourla again today - lest Kevin Rudd takes the credit for the NZ vaccination rollout!",[],2021-07-13 23:55:11
12,500daysofsumher,Schrödinger's Box,599,901,124050,3240,"Tennessee just fired its top vaccine official. On the way out, she dropped a 1200+ word statement torching government leaders and lawmakers for politicizing the coronavirus vaccine. You can read the whole thing here. https://t.co/1lW0DhS3Ev",[],2021-07-13 23:54:35
13,ScottJensenUSAF,United States,1817,1229,9509,2,"State leaders tried.
Church leaders tried.
Doctors tried.
But many Utahns still give priority to garbage media sources that call masks and/or vaccine a hoax. 
https://t.co/ufC0vbAj4X",[],2021-07-13 23:54:16
14,extraeclair,lang zhi says: retweet my art,309,81,29942,3240,"Tennessee just fired its top vaccine official. On the way out, she dropped a 1200+ word statement torching government leaders and lawmakers for politicizing the coronavirus vaccine. You can read the whole thing here. https://t.co/1lW0DhS3Ev",[],2021-07-13 23:54:06
15,willfalk,"East Garafraxa, Ontario",3838,4886,25149,10,"Major milestone: The THP UTM RAWC Clinic has delivered more than 300K #COVID19Vaccine doses! 🎇 
Thank you to partners @THP_Hospital &amp; @RegionOfPeel, and to everyone involved with the clinic. 
#ThisIsOurShotCA 

More clinic info: https://t.co/vRk0L3628q

https://t.co/8N5G84se2j",['COVID19Vaccine'],2021-07-13 23:53:51
16,_ngxxx,"Melbourne, Victoria",368,714,32361,273,"Reported yesterday: 1 new local case and 1 new case acquired overseas (currently in HQ). 
- 14,989 vaccine doses were administered 
- 33,037 test results were received    
More later: https://t.co/lIUrl1hf3W

#COVID19Vic #COVID19VicData [1/2] https://t.co/YISnlwvdvG",[],2021-07-13 23:53:39
17,MYMIMISTHEBEST,"Louisiana, USA",3587,3045,478315,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:52:46
18,hendrfc,"Utah, USA",301,102,11837,2,"State leaders tried.
Church leaders tried.
Doctors tried.
But many Utahns still give priority to garbage media sources that call masks and/or vaccine a hoax. 
https://t.co/ufC0vbAj4X",[],2021-07-13 23:52:21
19,JoJSharpe,Australia,638,457,35669,273,"Reported yesterday: 1 new local case and 1 new case acquired overseas (currently in HQ). 
- 14,989 vaccine doses were administered 
- 33,037 test results were received    
More later: https://t.co/lIUrl1hf3W

#COVID19Vic #COVID19VicData [1/2] https://t.co/YISnlwvdvG",[],2021-07-13 23:52:18
20,POIC_RAHS,"Portland, OR",496,417,1175,0,"If you missed our #ImmunityOpportunity vaccine event last month, here are some future opportunities to receive your vaccine. #COVID-19 vaccines keep the people we love strong and safe from the virus. https://t.co/W7rwVz6aHQ https://t.co/obVXpi3LOy","['ImmunityOpportunity', 'COVID']",2021-07-13 23:52:05
21,looppng,Papua New Guinea,308,9310,30045,0,"The Chinese COVID-19 Sinopharm vaccine is now available to Papua New Guineans after it was launched for rollout at the Port Moresby General Hospital yesterday.
https://t.co/Oa0sgzL3Zx",[],2021-07-13 23:51:20
22,voixdemichele,"Shanghai, China",1866,1959,39529,3240,"Tennessee just fired its top vaccine official. On the way out, she dropped a 1200+ word statement torching government leaders and lawmakers for politicizing the coronavirus vaccine. You can read the whole thing here. https://t.co/1lW0DhS3Ev",[],2021-07-13 23:50:54
23,RemileFay1,West Coast,1405,1073,30506,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:50:21
24,randomwonders85,"Auckland, New Zealand",851,197,5388,0,"@RenamedPM @nealejones What do you think of this article today? I think it's interesting, may be relevant to the discussion here...

https://t.co/NVcV0FsZhk",[],2021-07-13 23:50:13
25,CynicalVision50,EARTH,2530,2261,445993,10,It's not just about you. Experts say getting a Covid-19 vaccine protects everyone around you || Via CNN https://t.co/yx0BTq3I6G,[],2021-07-13 23:50:12
26,alvysingertwitt,Trump Tower with a pitchfork.,242,108,14678,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:49:56
27,Alienevader,toronto,175,37,102,385,"Delta variant sadly (but predictably) ripping through unvaccinated populations - many in the US South. 

Largely preventable given #COVID19 vaccine access.

""If they're sick enough to be admitted to the hospital, they are unvaccinated"" -Dr. Howard Jarvis

https://t.co/QfNteVe4Tz https://t.co/GTJzgQSHrl",[],2021-07-13 23:49:30
28,Bobduff1,Australia,2846,2481,275553,2,"The COVID-19 case comes as 33,000 people were tested and 14,989 doses of vaccine were administered at state-run sites during the past 24 hours. https://t.co/OXRKJDdscz",[],2021-07-13 23:49:21
29,_GoodToBeZG_,"Anywhere but here, USA",14090,14561,78640,224,"DNC Wants Phone Companies To Police Text Messages For Vax Misinformation

Translation: DNC Wants Phone Companies To Police Text Messages for 𝘄𝗿𝗼𝗻𝗴-𝘁𝗵𝗶𝗻𝗸

Does anyone believe this is still about vaccine 'misinformation'?
 https://t.co/55stFKQotM",[],2021-07-13 23:49:10
30,kcolaizzo,"Florida, USA",4960,4715,494001,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:48:58
31,PansyKhan,"Missouri, USA",9238,9205,26776,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:48:43
32,RIP_Heather,dumbfukistan fka USA,4167,3753,103503,0,It's not just about you. Experts say getting a #Covid -19 #vaccine protects everyone around you - https://t.co/iruBtbhE4A,"['Covid', 'vaccine']",2021-07-13 23:48:18
33,LaDDCouncil,"Baton Rouge, LA",378,431,1751,0,"The Rose F. Kennedy Center &amp; other University Centers for Excellence in Developmental Disabilities #UCEDDs wants you to complete a survey about parent preferences for getting the #COVID19 #Coronavirus #vaccine for their child with a disability👇👇
 https://t.co/76QQBsRvCC

#LaDDC","['UCEDDs', 'COVID19', 'Coronavirus', 'vaccine', 'LaDDC']",2021-07-13 23:48:02
34,Jonatho43827873,"Victoria, Australia",1458,922,37105,273,"Reported yesterday: 1 new local case and 1 new case acquired overseas (currently in HQ). 
- 14,989 vaccine doses were administered 
- 33,037 test results were received    
More later: https://t.co/lIUrl1hf3W

#COVID19Vic #COVID19VicData [1/2] https://t.co/YISnlwvdvG",[],2021-07-13 23:47:55
35,rtoane,"EDMONTON, CANADA",2175,189,4550,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:47:52
36,rchady,"Chapel Hill, NC",1247,708,31554,3240,"Tennessee just fired its top vaccine official. On the way out, she dropped a 1200+ word statement torching government leaders and lawmakers for politicizing the coronavirus vaccine. You can read the whole thing here. https://t.co/1lW0DhS3Ev",[],2021-07-13 23:47:39
37,kdm816,"St Louis, MO",592,963,111293,3240,"Tennessee just fired its top vaccine official. On the way out, she dropped a 1200+ word statement torching government leaders and lawmakers for politicizing the coronavirus vaccine. You can read the whole thing here. https://t.co/1lW0DhS3Ev",[],2021-07-13 23:47:13
38,AngBentivegna,"Burlington, Ontario",1500,1954,2516,28,"(1/3) #RollUpYourSleevesHalton! Based on expected vaccine supply, on Mon., July 26, we will be opening our ninth community clinic at St. Francis Xavier Catholic Secondary School, 1145 Bronte Street S. in #Milton. Learn more at https://t.co/VcaFhbS8mm https://t.co/pKFqerkrB5",['RollUpYourSleevesHalton'],2021-07-13 23:47:05
39,nikkivaccinated,"Virginia, USA",19328,17583,205824,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:46:46
40,APabloJuarez,"Nashville, TN",972,1044,9404,32,"The vast proportion of #SARSCoV2 #coronavirus deaths and hospitalizations that occurred in May in the USA were preventable. #vaccine 

All Tennesseans age 12 and older are eligible to get vaccinated. It is free, and insurance is not required. https://t.co/qoFu5Q2K3X","['SARSCoV2', 'coronavirus']",2021-07-13 23:46:01
41,I_am_AnIsland,"30,000'",2195,765,21546,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:46:00
42,charliesey60,"Davie, FL",14905,14706,61591,0,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases. BRINGING BACK SMALLPOX AND POLIO. WHAT A FUCKING STUPID STATE! https://t.co/aabznFc5GL",[],2021-07-13 23:45:59
43,susang8,Toronto,1750,516,46203,28,"(1/3) #RollUpYourSleevesHalton! Based on expected vaccine supply, on Mon., July 26, we will be opening our ninth community clinic at St. Francis Xavier Catholic Secondary School, 1145 Bronte Street S. in #Milton. Learn more at https://t.co/VcaFhbS8mm https://t.co/pKFqerkrB5",['RollUpYourSleevesHalton'],2021-07-13 23:45:47
44,feralislandBud,Russell Island  Australia,13071,13373,511004,10,"No new locally acquired cases of COVID-19 in Queensland overnight. 

Five new cases were detected in hotel quarantine.

DETAILS: https://t.co/Kfh4mt9bQr

#COVID19 #9News https://t.co/BvhSV1saVW",[],2021-07-13 23:45:40
45,kerostyle,Osaka,75,133,5783,0,"30%到達!

Share of people who received at least one dose of COVID-19 vaccine https://t.co/I0T409W2Fe",[],2021-07-13 23:45:18
46,getyourdigion,u.s.a.,32,84,1271,1,They just said no one would be coming to your door to push and stab vaccines. well guess what started in North Carolina? https://t.co/iECjFO1JVo,[],2021-07-13 23:45:05
47,vubblePOP,Everywhere,2123,3171,57275,0,"💉⚕️👨‍⚕️

Confusion over mixing and matching COVID-19 vaccines follows WHO comments https://t.co/HHfSqTxrzp via @CBCNews @BogochIsaac
 
#COVID19 #COVID #CovidVaccine #vaccine #mixing #WHO #pandemic #coronavirus #Science #medicine #research #Canada","['COVID19', 'COVID', 'CovidVaccine', 'vaccine', 'mixing', 'WHO', 'pandemic', 'coronavirus', 'Science', 'medicine', 'research', 'Canada']",2021-07-13 23:45:00
48,SeattleMedium,"Seattle, Wa",211,897,3096,0,"An analysis has found that at least seven states have enacted legislation this year that would restrict public schools from requiring either coronavirus vaccinations or documentation of vaccination status.

#SeattleMedium
https://t.co/x0QilH6WZh",['SeattleMedium'],2021-07-13 23:45:00
49,chrishulan,"Ottawa, Ontario, Canada",2014,820,30564,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:44:30
50,Cullenshorses,"Maribyrnong, Victoria",100,470,14704,273,"Reported yesterday: 1 new local case and 1 new case acquired overseas (currently in HQ). 
- 14,989 vaccine doses were administered 
- 33,037 test results were received    
More later: https://t.co/lIUrl1hf3W

#COVID19Vic #COVID19VicData [1/2] https://t.co/YISnlwvdvG",[],2021-07-13 23:44:11
51,MaryCDurham51,"SWGC Florida, USA🇺🇸🌊",4876,3613,75078,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:43:57
52,Veger70,"Santa Rosa, CA",7779,7234,155226,1179,"The Tennessee Department of Health will halt all adolescent vaccine outreach – not just for coronavirus, but all diseases – amid pressure from Republican state lawmakers, according to an internal report and agency emails obtained by the Tennessean. https://t.co/I32McnFd89",[],2021-07-13 23:43:35
