,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,tinkernurse,Martello bay .UK.,5622,5119,78669,0,Coronavirus vaccine - weekly summary of Yellow Card reporting - https://t.co/qJuWCDoscW https://t.co/RJWk0d5U2z,[],2021-07-11 23:59:19
1,impossible_cut,She/They,5000,1369,122996,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:58:45
2,BookShann,Canada,2466,498,31128,1,@BookShann You can’t get COVID-19 from the vaccines. None of the COVID-19 vaccines in Canada have the virus that causes COVID-19 in them. 😷🏥 Learn more: &lt;https://t.co/CLacKmKNZi&gt; Reply #stop to opt-out. https://t.co/Q9dcVhN8Ng,[],2021-07-11 23:58:10
3,ianwilgoose,UK,226,263,73269,142,"So is the vaccine responsible for the disease?  Investigate.

https://t.co/iUBuaRKqUu",[],2021-07-11 23:56:50
4,FindMyVaxLA_Bot,"Los Angeles County, CA",49,1206,177871,0,"NEW: CVS #17648 on 07-19
Age Group: Unknown

Address: 30740 Russell Ranch Rd, Westlake Village, CA 91362
Posted @ 1626047801
https://t.co/0mws9GGZhU",[],2021-07-11 23:56:40
5,newsradiolk,"Colombo, Sri Lanka",11,4035,59554,3,"A stock of 26,000 doses of the Pfizer vaccine purchased by Sri Lanka arrives in the island.
#SriLanka #lka #coronavirus #COVID19SL #COVID19LK","['SriLanka', 'lka', 'coronavirus', 'COVID19SL', 'COVID19LK']",2021-07-11 23:56:31
6,SassyCatxoo,"Victoria, Australia",693,544,18357,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:56:25
7,Data__Driven,United Kingdom,1380,583,21723,334,"1/ Sorry, Peter, wrong again. I’m not #Covid vaccinated. Why would I take an experimental vaccine with an unknown duration of efficacy for a virus that is a tiny risk to me?

The insistence I’m vaccinated says so much more about my critics than me. They think this is all a game… https://t.co/6UMVT9CejP",['Covid'],2021-07-11 23:56:09
8,veraciousditto,Canada,577,425,7394,334,"1/ Sorry, Peter, wrong again. I’m not #Covid vaccinated. Why would I take an experimental vaccine with an unknown duration of efficacy for a virus that is a tiny risk to me?

The insistence I’m vaccinated says so much more about my critics than me. They think this is all a game… https://t.co/6UMVT9CejP",['Covid'],2021-07-11 23:55:00
9,innov8chris,"Melbourne, Australia",454,186,2181,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:53:30
10,MadVet2000,"Melbourne, Victoria",7619,7642,328646,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:52:32
11,rdrunnerr1,HellOnEarth,342,40,7580,7,The evolving etiquette of asking about someone's COVID-19 vaccine status https://t.co/Ewk7J4s2Yq https://t.co/SROHQlq8BX,[],2021-07-11 23:51:04
12,swkoti,"Bay Ridge, Brooklyn",22734,20678,14438,3,"Time to begin to ban non-vaccinated people from public events: sports, movies, restaurants, theater…you get the idea.  It's not just about you. Experts say getting a Covid-19 vaccine protects everyone around you
https://t.co/9z5OiGBS6a",[],2021-07-11 23:50:29
13,angie_keathly,The South,24126,25119,172230,77,"There’s NO light at the end of the tunnel. Delta’s on the rise in MO, 1,000 new cases daily, because

💉only 35% vaxx rate
😷lift of mask mandate

“Hospitalizations are rare if fully vaccinated” 

Know. This isn’t a political virus.

#wtpBLUE #DemVoice1 

https://t.co/7d6NEWdsM0",[],2021-07-11 23:50:23
14,TamaraInphilly,prounons: audit/every/state,1704,190,69074,334,"1/ Sorry, Peter, wrong again. I’m not #Covid vaccinated. Why would I take an experimental vaccine with an unknown duration of efficacy for a virus that is a tiny risk to me?

The insistence I’m vaccinated says so much more about my critics than me. They think this is all a game… https://t.co/6UMVT9CejP",['Covid'],2021-07-11 23:50:18
15,kyodo_english,"Tokyo, Japan",150,20368,43003,0,"Latest from Japan and beyond on the #coronavirus outbreak

* Tokyo enters 4th COVID-19 emergency, covering Olympics period

* Japan governors call for sufficient COVID-19 vaccine supply

↓More #CoronaVirusUpdates↓
https://t.co/dWmMzXHwSe","['coronavirus', 'CoronaVirusUpdates']",2021-07-11 23:49:00
16,kennethgootz,Texas,8123,7601,65985,77,"There’s NO light at the end of the tunnel. Delta’s on the rise in MO, 1,000 new cases daily, because

💉only 35% vaxx rate
😷lift of mask mandate

“Hospitalizations are rare if fully vaccinated” 

Know. This isn’t a political virus.

#wtpBLUE #DemVoice1 

https://t.co/7d6NEWdsM0",[],2021-07-11 23:47:32
17,scott_squires,Los Angeles,3458,9434,317592,21,"Heartbroken for Missouri, where cases have risen 44% and hospitalizations 25% over the last two weeks because state leaders decided the pandemic is over despite all the evidence saying otherwise. https://t.co/56XNiW888F",[],2021-07-11 23:47:11
18,FindMyVaxLA_Bot,"Los Angeles County, CA",49,1206,177871,0,"NEW: CVS #10445 on 07-13
Age Group: Unknown

Address: 125 N Central Avenue, Glendale, CA 91203
Posted @ 1626047188
https://t.co/0mws9GGZhU",[],2021-07-11 23:46:28
19,myrabatchelder,"New York, NY",5001,3047,35591,21,"Heartbroken for Missouri, where cases have risen 44% and hospitalizations 25% over the last two weeks because state leaders decided the pandemic is over despite all the evidence saying otherwise. https://t.co/56XNiW888F",[],2021-07-11 23:45:41
20,kaysaraahsaraah,Canada,172,184,5584,3,Israel offers third shot of Pfizer COVID-19 vaccine to adults at risk https://t.co/JofJn2gg6I,[],2021-07-11 23:45:20
21,luisaasev,Naarm ,383,314,5015,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:44:56
22,jade_760,"Coachella Valley, CA",478,528,18785,18,Pfizer plans to meet with top U.S. health officials on Monday to discuss the drugmaker’s request for federal authorization of a third dose of its COVID-19 vaccine https://t.co/ckqifHX1Qh,[],2021-07-11 23:44:26
23,zanaines,Montevideo,4322,4681,131499,21,"Heartbroken for Missouri, where cases have risen 44% and hospitalizations 25% over the last two weeks because state leaders decided the pandemic is over despite all the evidence saying otherwise. https://t.co/56XNiW888F",[],2021-07-11 23:44:19
24,Mitchclark18,"Melbourne, Australia",1826,1351,67667,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:43:42
25,FindMyVaxLA_Bot,"Los Angeles County, CA",49,1206,177871,0,"NEW: CVS #9791 on 07-17
Age Group: Unknown

Address: 2532 W Valley Blvd, Alhambra, CA 91803
Posted @ 1626047002
https://t.co/0mws9GGZhU",[],2021-07-11 23:43:21
26,ranterulze,"Victoria, Australia",2778,1376,97897,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:43:21
27,RomainMartinIO,Tiohtià:ke Montreal,2792,894,56196,21,"Heartbroken for Missouri, where cases have risen 44% and hospitalizations 25% over the last two weeks because state leaders decided the pandemic is over despite all the evidence saying otherwise. https://t.co/56XNiW888F",[],2021-07-11 23:42:53
28,Erst_Officer,"USA, PA",958,1478,68056,21,"Heartbroken for Missouri, where cases have risen 44% and hospitalizations 25% over the last two weeks because state leaders decided the pandemic is over despite all the evidence saying otherwise. https://t.co/56XNiW888F",[],2021-07-11 23:42:29
29,SilvergoldBiz,Texas,1367,1812,3132,0,‘What’s the plan’: Ontario family doctors seek clarity on their COVID-19 vaccine rollout role  https://t.co/oXhXjhX1JN,[],2021-07-11 23:41:29
30,Judiths53372214,Perth WA,241,170,7710,8,#ThanksKevin : Kevin Rudd met Pfizer chairman to request millions of doses be brought forward. #auspol #COVID19  | The New Daily https://t.co/bIg2LAE6AE,"['ThanksKevin', 'auspol', 'COVID19']",2021-07-11 23:41:02
31,BowlerBarrister,"Brisbane, Queensland Australia",685,3424,231744,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:41:00
32,NWMelbPHN,"Melbourne, Australia",1353,3199,6018,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:40:20
33,gramazzy4,"Melb,Vict.",2273,2247,75959,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:39:30
34,The_Red_Sash,ESSENDON ,227,3823,6432,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:38:19
35,AaronRFernandes,"Toronto, Ontario",9891,41458,103488,0,"Kate Middleton Says She's ""Grateful"" to Receive COVID-19 Vaccine https://t.co/BIZfeB9d8J #Coronavirus #COVID #KateMiddleton https://t.co/k5LjXxnPLb","['Coronavirus', 'COVID', 'KateMiddleton']",2021-07-11 23:37:57
36,Aitch_El,Dja dja wurrung. Never ceded.,3956,3013,307949,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:37:51
37,fayletom,Australia,1345,566,7936,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:37:39
38,AARNO_XXII,Canada,3016,2600,19912,334,"1/ Sorry, Peter, wrong again. I’m not #Covid vaccinated. Why would I take an experimental vaccine with an unknown duration of efficacy for a virus that is a tiny risk to me?

The insistence I’m vaccinated says so much more about my critics than me. They think this is all a game… https://t.co/6UMVT9CejP",['Covid'],2021-07-11 23:37:22
39,aVoice4MA6,"Rockport, MA",6403,7173,24874,21,"Heartbroken for Missouri, where cases have risen 44% and hospitalizations 25% over the last two weeks because state leaders decided the pandemic is over despite all the evidence saying otherwise. https://t.co/56XNiW888F",[],2021-07-11 23:36:14
40,MaireadEire,här och där i Sverige,578,137,141046,21,"Heartbroken for Missouri, where cases have risen 44% and hospitalizations 25% over the last two weeks because state leaders decided the pandemic is over despite all the evidence saying otherwise. https://t.co/56XNiW888F",[],2021-07-11 23:36:11
41,Crystal85087337,⚜️BAYOU SELF⚜️,4336,2617,62718,26,Brazilian activist Patrícia Gonçalves da Silva said of Bolsonaro &amp; #coronavirus: A lot of the 530K deaths are due to negligence &amp; the neglect of the population from a negationist govt where the existence of #COVID19 is denied &amp; the vaccine also denied. https://t.co/ohipXqqPs1 https://t.co/Y9iJcWcOUm,['coronavirus'],2021-07-11 23:36:07
42,Northcoteer,"Northcote, Victoria, Australia",1025,1043,23404,300,"Reported yesterday: 0 new local cases and no new cases acquired overseas. 
- 12,005 vaccine doses were administered 
- 19,239 test results were received    
More later: https://t.co/lIUrl0ZEco

#COVID19Vic #COVID19VicData https://t.co/XvdtKuRWlG",[],2021-07-11 23:35:34
43,Marie70883246,"Winnipeg, Manitoba",354,266,74812,7,Why these parents volunteered their young children for COVID-19 vaccine trials https://t.co/uzNWRw14Gp https://t.co/UIqEgK69db,[],2021-07-11 23:33:47
44,libmaryann,Southern Ontario,3221,2123,55423,21,"Heartbroken for Missouri, where cases have risen 44% and hospitalizations 25% over the last two weeks because state leaders decided the pandemic is over despite all the evidence saying otherwise. https://t.co/56XNiW888F",[],2021-07-11 23:33:45
