,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,JTAH_1990,England,4341,4224,42086,2,"BLOG | JUNE 2020

https://t.co/9WixHdGoI9    

https://t.co/563pBZzIsJ    

https://t.co/y0ExpuKrWg    

https://t.co/jpeMZullst    

https://t.co/m6MaVFOPuk    

#Lockdown #Cuba #USA #TravelPlan #COVID19 #WorldPandemic #China #Karens @LovingBlogs https://t.co/bik9i5Ko5A","['Lockdown', 'Cuba', 'USA', 'TravelPlan', 'COVID19', 'WorldPandemic', 'China', 'Karens']",2021-07-11 23:53:59
1,JTAH_1990,England,4341,4224,42086,1,"BLOG | FEATURING... 2021

https://t.co/TctVO05tGP   

https://t.co/k1gTqpgYdd   

https://t.co/4B71Rbj24N   

https://t.co/ZcNeTYqfea   

#Blog #COVID19 #Pandemic #Foodie #DragRace #RuPaul #Regargless #LetterWriting #Lockdown3 #DailyExercise #Blog #Chinese https://t.co/3VUqnXo1Ya","['Blog', 'COVID19', 'Pandemic', 'Foodie', 'DragRace', 'RuPaul', 'Regargless', 'LetterWriting', 'Lockdown3', 'DailyExercise', 'Blog', 'Chinese']",2021-07-11 23:48:13
2,Judiths53372214,Perth WA,241,170,7710,8,#ThanksKevin : Kevin Rudd met Pfizer chairman to request millions of doses be brought forward. #auspol #COVID19  | The New Daily https://t.co/bIg2LAE6AE,"['ThanksKevin', 'auspol', 'COVID19']",2021-07-11 23:41:02
3,VoicesWentworth,"Wentworth, Australia",755,1073,2357,3,New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained https://t.co/HLId0Uj2is,[],2021-07-11 23:31:46
4,aussiearnie,Braidwood NSW,1682,164,2303,8,#ThanksKevin : Kevin Rudd met Pfizer chairman to request millions of doses be brought forward. #auspol #COVID19  | The New Daily https://t.co/bIg2LAE6AE,"['ThanksKevin', 'auspol', 'COVID19']",2021-07-11 23:31:01
5,GuardianAus,Australia,164,297787,262881,3,New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained https://t.co/HLId0Uj2is,[],2021-07-11 23:27:24
6,HumanRe41270855,"Berlin, Germany",1,3867,348504,1,"Confused over the latest COVID-19 restrictions in your state?

Visit our Coronavirus FAQ employer hub here for information and free resources!

https://t.co/rXhKCQjp5S

#COVID #lockdown #employsure #wfh #smallbusinesses #covid19au #smes #smallbiz #hr #ir https://t.co/bbuCVNlW1m",[],2021-07-11 23:13:07
7,Employsure,Australia,1616,996,3566,1,"Confused over the latest COVID-19 restrictions in your state?

Visit our Coronavirus FAQ employer hub here for information and free resources!

https://t.co/rXhKCQjp5S

#COVID #lockdown #employsure #wfh #smallbusinesses #covid19au #smes #smallbiz #hr #ir https://t.co/bbuCVNlW1m","['COVID', 'lockdown', 'employsure', 'wfh', 'smallbusinesses', 'covid19au', 'smes', 'smallbiz', 'hr', 'ir']",2021-07-11 23:12:45
8,najsambul,"Melbourne, Australia",245,375,1530,1,Coronavirus NSW update: Worst yet to come with new COVID-19 cases expected to surpass 100 https://t.co/AllVjS4kQB,[],2021-07-11 23:05:06
9,scarletmonahan,United Kingdom,24059,296321,129667,2,Alan 4 Things you must never do. https://t.co/19rWVd25Vw #SocialDistancing #Dominicummimgs #covid19 #coronavirus #animation #animated #Quarantine #lockdownextension #lockdown # #SocialistSunday #Socialist #BorisTheLiar 7,"['SocialDistancing', 'Dominicummimgs', 'covid19', 'coronavirus', 'animation', 'animated', 'Quarantine', 'lockdownextension', 'lockdown', 'SocialistSunday', 'Socialist', 'BorisTheLiar']",2021-07-11 23:03:12
10,slsandpet,Aust,3797,11958,555834,8,#ThanksKevin : Kevin Rudd met Pfizer chairman to request millions of doses be brought forward. #auspol #COVID19  | The New Daily https://t.co/bIg2LAE6AE,"['ThanksKevin', 'auspol', 'COVID19']",2021-07-11 22:58:43
11,Asher_Wolf,In flux. ,54502,74698,758585,1,Coronavirus NSW update: Worst yet to come with new COVID-19 cases expected to surpass 100 https://t.co/AllVjS4kQB,[],2021-07-11 22:57:19
12,suzlette333,"Melbourne, Australia",6791,6702,230962,8,#ThanksKevin : Kevin Rudd met Pfizer chairman to request millions of doses be brought forward. #auspol #COVID19  | The New Daily https://t.co/bIg2LAE6AE,"['ThanksKevin', 'auspol', 'COVID19']",2021-07-11 22:56:13
13,lithohedron,"YVR, YSE",2763,2370,76074,27,"🇺🇸 Washington, Capitol Building #Covid19 

200 national guard &amp; 
3 lawmakers infected 

“committee room lockdown had all ingredients for #superspread event.. overcrowding, hours indoors, people without masks &amp; low ventilation” 7/
https://t.co/dyf06GEYxX &amp; https://t.co/5aYpjRcItg",['Covid19'],2021-07-11 22:55:16
14,Gerundagula,Media City Salford UK,4997,2236,56902,0,"""#BorisTheLiar promised all restrictions dropped #July19th then imposes digital passes to 'leave your home' from August. All lies again as #COVID19 #Lockdown 4 arrives. You complied, YOU are to blame. Simple as...."" #Sky #VaccinePassports https://t.co/r6Tpr9hYhC","['BorisTheLiar', 'July19th', 'COVID19', 'Lockdown', 'Sky', 'VaccinePassports']",2021-07-11 22:54:14
15,somuchbullsh,Australia,536,2199,241068,0,"Another day another batch of changes...
New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained https://t.co/himnGvPxaB",[],2021-07-11 22:49:49
16,Zeinobia,Egypt,5900,258886,697092,1,#Libya imposes partial #lockdown as there is a spike in the #coronavirus cases #Libya imposes sweeping restrictions to stem the spread of #coronavirus as recorded cases... via @24liveblog https://t.co/PKbmd47X4W,"['Libya', 'lockdown', 'coronavirus', 'Libya', 'coronavirus']",2021-07-11 22:44:09
17,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@GuardianAus New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:28:26
18,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@SkyNewsAust New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:27:04
19,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@SBSNews New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:26:38
20,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@NSWHealth New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:26:16
21,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@SkyNewsAust New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:25:58
22,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@australian New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:25:32
23,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@sistaman New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:25:05
24,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@10NewsFirstSyd New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:24:57
25,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@newscomauHQ New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:23:51
26,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@ccroucher9 New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:23:41
27,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@9NewsSyd New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:23:04
28,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@smh @jennynoise New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:22:53
29,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@ACurrentAffair9 New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:22:10
30,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@theprojecttv New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:22:00
31,PKBurian,"Oshawa, Ontario, CA",207,71,19070,0,"@SkyNewsAust New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained
11 July
Can you have visitors? Is mask-wearing compulsory? Is travelling permitted? Here’s the full list of what you can and can’t do in NSW
https://t.co/scN2zcHJT1",[],2021-07-11 22:21:26
