,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,LilyMac_Mancera,Mexico City,5000,582,38729,4,New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained https://t.co/siRH4PcHyk,[],2021-07-12 23:56:03
1,maymilkyway,"Bangkok, Thailand",1467,224,360690,170,Thailand said it will use AstraZeneca's COVID-19 vaccine as a second dose for those who received Sinovac's shot as their first dose to increase protection against the disease https://t.co/WkS6MbyHEK https://t.co/tjSfZ606Ys,[],2021-07-12 23:48:35
2,mirkoarkimaa,"Rovaniemi, Suomi",225,59,2206,0,"These do not seem like people who would've deserved a win anyway.

And soon you may see the corona cases soar. ""Be a good sport"" and cause a new lockdown, eh? Smh

#england #euro2020 #corona #coronavirus #deltavariant https://t.co/vjYsE3VCGa","['england', 'euro2020', 'corona', 'coronavirus', 'deltavariant']",2021-07-12 23:48:28
3,9NewsSyd,"Sydney, Australia",495,141118,289746,0,"The number of new local #COVID19 cases across Sydney is expected to increase again today. #9News
https://t.co/npLn1mLcay","['COVID19', '9News']",2021-07-12 23:43:31
4,scarletmonahan,United Kingdom,24059,296321,129668,0,Alan 4 Things you must never do. https://t.co/19rWVd25Vw #SocialDistancing #Dominicummimgs #covid19 #coronavirus #animation #animated #Quarantine #lockdownextension #lockdown # #SocialistSunday #Socialist #BorisTheLiar 11,"['SocialDistancing', 'Dominicummimgs', 'covid19', 'coronavirus', 'animation', 'animated', 'Quarantine', 'lockdownextension', 'lockdown', 'SocialistSunday', 'Socialist', 'BorisTheLiar']",2021-07-12 23:33:17
5,jamesvgingerich,"Waterloo, Ontario Canada",67326,61459,301211,3,Here's another benefit of the #CoronaVirus lockdown.  Lack of human traffic on beaches has returned turtles to historic nesting beaches.  (Cheddar Gadgets) #Environment https://t.co/39m1iSEwkN,"['CoronaVirus', 'Environment']",2021-07-12 23:33:00
6,allplacesmap,"Portland, OR",0,498,60313,0,Uttarakhand Extends COVID-19 Lockdown Till July 20 https://t.co/XdAUB9YI9T #news #worldNews #updates Uttarakhand has extended the coronavirus lockdown imposed in the state. (Representational)Dehradun: The Uttarakhand government on Monday extended the... https://t.co/diuTmtCoAs,"['news', 'worldNews', 'updates']",2021-07-12 23:15:49
7,Bodyfatcoach,"Toronto, Canada  and Worldwide",661,1303,53840,0,"While Canada, America, EU, UK, and NATO war criminals claim #COVID19 is a pandemic, they deny #coronavirus #vaccination for Cuba, Venezuela, Syria, Iran, North Korea, Palestine #LockDown #racists #Russia #mondaythoughts https://t.co/XO9hkkR27g #racism #God #healthcare #life #Love","['COVID19', 'coronavirus', 'vaccination', 'LockDown', 'racists', 'Russia', 'mondaythoughts', 'racism', 'God', 'healthcare', 'life', 'Love']",2021-07-12 23:09:57
8,AdepaElla2, myself,1537,2283,2120,21,"Nurses on Duty! 🌈 

#healthcare #TREASURE #cyril 
#coronavirus #lockdown https://t.co/geaYeAIpPg","['healthcare', 'TREASURE', 'cyril', 'coronavirus', 'lockdown']",2021-07-12 23:09:02
9,GuardianAus,Australia,164,297787,262881,1,New Sydney Covid lockdown restrictions: latest update to NSW coronavirus rules explained https://t.co/pI0ZPvGskz,[],2021-07-12 22:56:45
10,SmileyRose_UK,"England, United Kingdom",875,526,77019,0,PM briefing: End of lockdown on 19 July does not mean return to normal life – follow live https://t.co/kImrMxgSwo,[],2021-07-12 22:55:55
11,Bodyfatcoach,"Toronto, Canada  and Worldwide",661,1303,53840,0,Resistance Bands Squats and Rowing Full Body Cardio #tuesdayvibe #healthcare #coronavirus #COVID19 #lockdown #healthcare #racism #fitness #summer #coronavirus #tuesdayvibe https://t.co/UDhOrnuoya,"['tuesdayvibe', 'healthcare', 'coronavirus', 'COVID19', 'lockdown', 'healthcare', 'racism', 'fitness', 'summer', 'coronavirus', 'tuesdayvibe']",2021-07-12 22:54:56
12,Bodyfatcoach,"Toronto, Canada  and Worldwide",661,1303,53840,0,"Who is NOT exercising today because Doug Ford and Trudeau Toronto Ontario Canada closed gyms 270 day forced stay home #lockdown no family, no business, no #life until jab unproven #Vaccines #MotivationMonday #COVID19 https://t.co/XO9hkkR27g #tuesdayvibe #healthcare #coronavirus","['lockdown', 'life', 'Vaccines', 'MotivationMonday', 'COVID19', 'tuesdayvibe', 'healthcare', 'coronavirus']",2021-07-12 22:50:25
13,PanzerThiefZer0,Australia (trans rights),1033,127,56142,1,"@normanswan on Sydney's COVID-19 outbreak:

""It's pretty pointless to argue what might have been in NSW. The dilemma now is that millions of people are hurting under lockdown, and how to make that as short as possible without losing control of this damned coronavirus."" @abc730 https://t.co/cWC63bdiZJ",[],2021-07-12 22:47:56
14,BernadetteClaxt,"Kildare, Ireland",1268,2656,192158,3,"► VIDEO: ""Don't leave home unless you absolutely have to,"" Australia's coronavirus outbreak grows despite three-week Sydney lockdown https://t.co/7eZtYaVw6K https://t.co/Sgw7ciIGwC",[],2021-07-12 22:46:41
15,melulater,Waikato New Zealand,4784,4828,156721,0,"#Covid19 coronavirus: NSW outbreak reaches Melbourne.

This is what happens when NSW puts in a half-arsed lockdown. 
 https://t.co/hNExc5EXIj",['Covid19'],2021-07-12 22:35:23
16,LeGrandeWee,Australia,2757,1444,38730,0,"#GladysOutbreak #MorrisonFailure 
Sydney COVID-19 cases expected to increase amid two-month lockdown warnings https://t.co/uPuSgBLaND","['GladysOutbreak', 'MorrisonFailure']",2021-07-12 22:32:32
